author,publications
Forsling ML,1
Bennett JS,1
McDonough M,1
Turnbull J,1
Wasssef M,1
Choudhury DP,1
Turk PM,1
Hermens WT,2
Gross S,1
Pauli BU,1
Anderson SN,1
Kuettner KE,1
Visconti EB,1
Stancić-Rokotov F,1
Kogler A,1
Lupret V,1
Schettini F,1
De Mattia D,1
Altomare M,1
Montagna O,1
Beck BB,1
Cruz-Coke R,1
Rivera L,1
Foidart JB,1
Goffinet G,1
Dubois C,3
Dechenne C,1
Mahieu PR,1
Marsh N,1
Gaffney P,1
Hydén H,1
Huisse MG,4
de Grouchy J,1
Menaché D,1
de Crépy B,1
Baumann J,3
Lundsgaard-Hansen P,2
O'Brien PF,1
Kocoshis TA,2
Harms CS,2
Gill F,1
Djerassi I,1
Rice S,1
Lusch C,1
Miller MF,1
Ling C,5
Overby LR,1
Gan TE,1
Sawers RJ,1
Ting HC,1
Por P,1
Nurulhuda A,1
Tuğcu K,1
Cötelli I,1
Kavcioğlu H,1
Urkmez M,1
Gürsel T,4
Zwahlen H,1
Chilcote RR,1
Baehner RL,1
Arends P,1
Kang EP,1
Miller BR,1
Smith IL,1
Kolb R,1
Ruys JH,1
Pistotnik M,1
Pende B,1
Svanberg L,2
Bernstein K,1
Kullander S,2
Astedt B,2
Conte B,1
Elder GE,1
Daly JG,1
Kennedy AL,1
Hadden DR,1
Montgomery DA,1
Weaver JA,1
Jarvis A,1
Oliveros A,1
Vazquez C,1
Barnard DR,1
Simmons MA,1
Heller RM,1
Roloff JS,1
Kirchner SG,1
Engel E,1
Lipworth L,2
Rice CA,1
Head DR,1
Bowman RP,1
Marmer DJ,1
Brossoit AD,1
Nilsson KO,1
Thilén A,1
Moehring C,1
Voss R,1
Heim MD,1
Strauss S,2
Agostino D,1
Agostino N,1
Koller E,2
Doleschel W,2
Kleniewski J,1
Culbertson R Jr,1
Osburn BI,1
Gouault-Heilmann M,1
Dumont MD,1
Intrator L,2
Chenal C,1
Lejonc JL,1
Katayama K,1
Ericsson LH,1
Walsh KA,2
Neurath H,1
Wesström G,1
Tanphaichitr P,1
Loharjun C,1
Turk P,3
Schneider-Trip MD,1
Jenkins CS,2
Kahlé LH,1
Vadalà CR,1
Bisogni MC,1
Tonini GP,1
Scarabicchi S,1
Boudart DJ,1
Naud MF,1
Bussel A,1
Poupeney M,1
Sitty X,1
Gajdos P,1
Kansu T,1
Savino PJ,1
Schatz NJ,1
Magargal LE,1
Goldberg RE,1
Corbett JJ,1
Cuneo RA,1
Appelbaum FR,1
Deisseroth AB,1
Engel WK,1
Magnin AA,1
Johnson SE,1
Bjerrum OJ,1
Brudzynski TM,1
Curatolo L,1
Cambini AL,1
Poggi A,1
Morasca L,1
Kuramoto S,1
Yokoyama T,5
Brown GD,1
Palkuti HS,1
Rossiter SJ,1
Miller DC,1
Raney AA,1
Oyer PE,1
Reitz BA,1
Stinson EB,1
Shumway NE,1
Ikari H,1
Murakami Y,1
Amphlett GW,2
Byrne R,2
Shepherd FA,1
Perrault RA,1
Peterka M,1
Gjemdal T,1
Bjerre Knudsen J,1
Richardson SG,1
Cruickshank JK,1
Geddes AM,1
Perez C,1
Modan M,1
Jersild RA Jr,1
Boxer L,1
Gardner A,1
Marcucci M,10
Aliboni E,1
Previtera A,1
Martini A,1
Elston RC,2
Nagayama M,1
Ohmori M,1
Minato F,1
Nakajima J,1
Hey E,1
Peterson ME,1
Williams N,1
Winchester RJ,1
Ross GD,1
Tann G,1
Evins SC,1
McInnes BK,1
Fisher SE,1
Speckart SF,1
Haut MJ,1
Kimball DB,1
Ardaillou N,3
Lane JL,1
Shermer R,1
Clark R,2
Staab EV,1
Tranqui-Pouit L,1
Chapel A,1
Suscillon M,1
Scranton PE Jr,1
Redman CW,2
Kobakura M,1
Stone V,1
Colônia VJ,1
Firshein SI,1
Forget BG,1
Pitlick FA,1
Muir WA,1
Merkatz IR,1
Labarre D,1
Boffa GA,1
Al-Ismail SA,1
Parry DH,2
Moisey CU,1
van Oosterom AT,1
Kerkhoven P,1
Hedlund PO,1
Clough V,1
MacFarlane IA,1
O'Connor J,2
Wood JK,1
Schneiderman JH,1
Sharpe JA,1
Sutton DM,1
Glynn MF,1
Shaw E,2
Hohn DE,1
Zizzi JA,1
Subramanian S,3
Andersen MN,1
Nair RM,1
Halushka PV,1
Whetsell A,1
Sagel J,1
Hendrix LE,1
White Y,1
Portmann B,1
Das PK,1
Adelstein S,1
Joffe BI,2
Hockley J,4
Seftel HC,2
Zajtchuk JT,1
Falor WH Jr,1
Rhodes MF,1
Harper E,1
Sas G,1
Cort JH,1
Rainsford SG,4
Painter MJ,2
Nowotny C,1
Krinninger B,1
Zegner M,1
Chang CH,4
Sudhindra RR,1
Gordon YB,1
Pinkhas J,1
Aderka D,1
Douer D,1
Bar-Meir S,1
Warrell RP Jr,1
Thomson JE,1
Reavey MM,1
Raasch RH,1
Fernandez-Palazzi F,1
Bosch NB,2
Vargas AF,1
Miura Y,3
Yasuda J,1
Magner A,1
Eddey JV,1
Roer ME,1
Orringer EP,2
Malik M,1
Klamut M,1
Szczerbo-Trojanowska M,1
Kowalewski J,1
Nowakowski A,1
Dolana GH,1
Petzel RA,1
Kantor RJ,1
Heilbrunn A,1
Murphy BL,1
Willimann P,1
Alig A,1
Binswanger U,1
Thaule R,1
Grøan K,1
Walter H,1
Assmus SL,1
Dubansky AS,1
Hackett AJ,1
Riggs JL,1
Walton JR,1
Stampfer MR,1
Rice CL,1
Moss GS,1
McGill A,1
Lufkin EG,1
O'Fallon WM,1
Alsabti EA,1
Hammadi M,1
Burul A,4
Harris RI,1
Conlon CL,1
Parekh VR,1
Pepper MD,1
Learoyd PA,1
Rajah SM,1
Yang HC,4
Duffy C,1
Kevy SV,2
Madar DA,1
Thorn MB,1
Grant K,1
Rodvien R,1
Sodetz JM,1
Paulson JC,2
Lake AM,1
Stauffer JQ,1
Katz HJ,1
Hruby MA,1
Schauf V,1
Bardhan G,1
Stewart RM,1
Blackburn EK,1
Holub DA,1
Norman JC,1
Koepke JA,1
Edwards R,2
Raggio JF,1
Fleischer AS,1
Corley CC,1
Osbourne GK,1
England P,1
Hardin J,1
Vaudreuil C,1
Paskell SL,1
Elgee SK,1
Dietz AS,1
Baugh RF,1
Dunlop W,1
Hill LM,1
Landon MJ,1
Rosenstein R,1
Ronchi G,1
Neely JE,1
Krivit W,1
Bruïne MH,1
Trieschnigg MC,1
Shearn SA,1
Collazzo RE,1
Karnovsky MJ,2
Young PH,1
Barner HB,1
Maak B,2
Scheidt B,1
Frenzel J,1
Spear CV,1
Mason JA,5
Williamson SR,2
Neff RS,1
Comeaux LJ Jr,1
Gwathmey FW,1
Kreisberg JI,1
Hoover RL,1
Priluck IA,1
Howe RB,1
Eifrig DE,1
Meltzer DB,1
Jakab T,2
Mercer JE,1
Eckenrode JW,1
Owens R,1
Blecher TE,1
Westby JC,1
Thompson MJ,1
Van Theil DH,1
Forbes C,1
Ayeni O,1
Nalli G,1
Malamani GD,1
Majolino I,1
Frassoni F,1
Sitar GM,1
Dell'Orbo C,1
Ascari E,1
Di Scipio RG,3
Kirk P,1
Brown KD,1
Birdwell CR,1
Easa D,1
Gastaldi G,1
Rasore-Quartino A,1
Galletti A,1
Campanella A,1
Barone E,1
Menius JW,1
Butler MJ,1
Vickers M,1
Lokey H,1
Phelps DB,1
Boswick JA 3rd,1
Burrell CJ,1
Ramsay DM,1
Yolken RH,1
Milton RC,1
Bennett M,1
Sills JA,1
van der Plas PM,1
Abels J,1
Ananthakrishnan R,4
D'Souza S,4
Cotter SM,1
Brenner RM,1
Bertani T,2
Adhikari M,1
Coovadia HM,1
Greig HB,1
Christensen S,1
Counillon F,1
Charlet JP,1
Madaras F,2
Larsen JF,1
Jacobsen B,2
Holm HH,1
Pedersen JF,1
Mantoni M,1
Edsmyr F,1
Kockum C,2
Hollán SR,1
Bucher U,1
Tschirren B,1
Haase S,1
Kuske B,1
Lüdi H,1
Stankiewicz LA,1
Hässig A,1
Campbell EW,1
Neff S,1
Bowdler AJ,1
Mainardi CL,1
Werb Z,1
Harris ED Jr,1
Kirkman HN,1
Clemons E,1
Buchanan PD,1
Vlooswijk R,1
Bakker-Woudenberg I,1
Cavenaghi AE,1
Mysliwiec M,1
Marchesi D,1
Donati MC,1
Janković GM,1
Janosević S,1
Murphy JB,1
Nersasian R,1
Clark A,4
Nelson DA,1
Betterle C,2
Sticchi A,3
Beilin LJ,1
Bolton FG,1
Stirrat GM,1
Andersen JC,1
Voke J,3
Mohammed I,1
Dormandy KM,5
Holborow EJ,1
Thornton CA,1
Rothkoff L,1
Shoham K,1
Bensoussan D,1
Levy-Toledano S,2
Beaufils F,1
Mathieu H,1
Hagedorn AB,1
Stauffer RN,1
Houghton GR,1
Kuzur M,1
Pool J,2
Kaelin AC,2
Fripp RR,1
Burnett JW,1
Lamon JM,1
Letsky E,1
van der Walt JA,1
Nachman R,1
Levine R,1
Hasiba UW,1
DeWitt RT,1
Shoa'i I,1
Giardina P,2
Roper P,1
Pineda AA,1
Brzica SM Jr,1
Taswell HF,1
Roncaglioni MC,1
Fudge RP,1
Vlasses PH,1
Berglöf J,1
Lindquist LO,1
Losito R,1
Beaudry P,1
Valderrama JC,1
Cousineau L,1
Longpré B,1
Cobcroft R,1
Tamagnini G,1
Raaska E,1
Krumholz S,1
Yount WJ,2
Gitel SN,1
Stephenson RC,1
Wessler S,1
Banhegyi D,1
Howie A,1
Britton BJ,2
Brooks L,1
Glazier RL,1
Crowell EB Jr,1
Morgan JE,1
Brockway WJ,1
Okuda T,1
Murashima N,2
d'Souza S,1
Jorgensen J,2
Schwartz KA,1
Fekety RF Jr,1
Bailey RW,1
Zauber NP,1
DeNardo SJ,1
Hershgold EJ,2
DeNardo GL,1
Krohn KA,1
Godin DR,1
Lossing TS,1
de la Pointe L,1
Diez-Ewald M,1
Nunez R,1
Harkness DR,1
Maxey B,1
Levison SP,1
Jung CJ,1
Klein HG,2
DeMets DL,1
Vicary FR,1
Capitanio A,1
Kohn G,1
Cohen MM,1
Segal M,1
Bach G,1
Beyth Y,1
Biggs R,3
Higgins R,1
Cousineau G,1
Handa J,1
Asato R,1
Handa H,4
Curreri PW,1
Bowman HS,2
Kahn A,1
Vandenbogaert N,1
Cremer N,1
Lüscher EF,1
Stathakis NE,1
Economopoulos TC,1
Papayannis AG,1
Thomopoulos D,1
Chute A,1
Ritchie RF,1
Forman WB,1
Wisnieski J,1
Civardi E,1
Megha A,1
Potí R,1
Ahr DJ,2
O'Leary DS,1
Conrad ME,1
Chediak JR,1
McLennan CR,1
Hermodson MA,2
Yates SG,1
Seth HK,1
Frohnsdorff KG,1
Wampler DE,1
Potter JS,1
McClanahan SB,1
Krishnamurthy M,1
Miotti AB,2
Schetz J,1
de Cock F,1
Michel H,1
Bodevin E,1
Walter M,1
Six P,1
Airenne H,1
de Marco L,3
Speers S,1
Jones RV,1
Perkins JR,1
Sitprija V,1
Vongsthongsri M,1
Poshyachinda V,1
Arthachinta S,1
Zanon RD,1
O'Connor ML,1
Meek ES,1
Simmons A,1
Seegers WH,1
Elkstrom ME,1
Harper CA,1
Hassouna HI,1
Avikainen V,1
Dranchak M,1
Haverstick J,1
Rogers JS,2
Fox KR,1
Soni NS,1
Patel AR,1
Vohra RM,1
Franzoso R,1
Roodman S,1
Gerlag PG,1
Jansen JL,1
Moulijn AC,1
Skotnicki SH,1
Debruyne FJ,1
Kunst VA,1
Geerdink P,1
Wijdeveld PG,1
Kirk PJ,2
McHardy J,1
Culver-James JW,1
Davies SH,1
Antonopoulou A,1
Jesdinsky-Buscher C,1
Künzer W,1
Simeon J,1
Howard BV,1
Pabst R,1
Heyes H,1
Schick P,1
Trepel F,1
Szmitkowski M,1
Prokopowicz J,1
Szmitkowska K,1
Morland J,1
Holm T,1
Okogun JI,1
Eyster E,1
Jensen AH,1
Beguin S,2
Josso F,1
Gimbrone MA Jr,1
Fareed GC,1
Moran J,1
Braun D,1
Birdwell C,1
Cardamone JM,1
Reese EP Jr,1
Hattersley PG,1
Kunkel M,1
Slichter SJ,1
Maher JT,1
Cymerman A,1
Brozović M,1
Chakrabarth R,1
Kelly P,3
Mingers AM,2
Miner GW,1
Wise HA 2nd,1
Bouroncle BA,1
Bottecchia D,4
Zimbler S,1
McVerry B,1
Levine P,2
Szpilman H,1
Klein KG,1
Parkin JD,1
Spencely M,1
Amato D,1
Needleman HL,1
Kaban LB,1
Olive JA,1
Jeremic M,1
Weisert O,1
Gedde-Dahl TW,1
Koury MJ,1
Spinelli A,1
Schmid W,1
Muntz RH,2
Dowling S,1
Whitman DE,1
Mustafa AJ,1
Radcliffe R,1
Carter F,1
MacFarlane JD,1
Begg CB,1
Purdie DW,1
Stableforth P,2
Tamagnini GL,1
Borsato N,1
Judelman JJ,1
Mindel A,1
Goldberg RB,1
Meyers AM,1
Salant DJ,1
Myburgh JA,1
Awaad S,1
Helmy O,1
Fahmy A,1
Naga MA,1
Hassanene A,1
Wahsh E,1
Andrews AT,1
Eyster EM,1
Sherwood WC,1
Hoofnagle JH,1
Thiel J,1
Barker LF,1
Alter AA,1
Walker MR,1
Stefanyshyn M,1
Scott L,1
Wylin R,1
Violante N,1
Cella G,3
Solomon A,1
Krauss S,1
Cruz P,1
Jones FS,1
Jeffcoate SL,1
Swinehart CD,1
Vaughan RW,1
Wilson SL,1
Waldbaum LS,1
Reiss RF,1
Weiss AE,1
Strike LE,2
Penick GD,1
Arblaster PG,1
Alderson MR,1
Hall DE,1
Farid NR,1
Griffiths BL,1
Collins JR,1
Marshall WH,1
Ingram DW,1
Fieldhouse G,1
Ellis LD,1
Ryan LT,1
Miller RG,1
Miller-Andersson M,1
Wood WG,1
Irving MH,1
Bartlett A,2
Hawkey CM,1
Voller A,1
Nemes A,2
Kormányos Á,2
Domsik P,2
Ambrus N,2
Gyenes N,2
Vezendi K,2
Marton I,2
Borbényi Z,2
Niu J,1
Ning L,1
Ma Y,8
Hao Y,1
Müller J,7
Miesbach W,31
Prüller F,2
Sachs UJ,1
El Demerdash DM,1
Ayad A,1
Tawfik N,1
de Sousa Bomfim A,4
Archangelo BS,1
Pereira AS,1
de Sousa Russo EM,4
Murali A,1
Wong P,1
Gilbar PJ,1
Mangos HM,1
Thangaraju K,2
Katneni U,2
Akpan IJ,1
Thomas T,2
Setua S,1
Reisz JA,1
Cendali F,1
Gamboni F,1
Nemkov T,1
Kahn S,1
Wei AZ,1
Valk JE,1
Hudson KE,1
Roh DJ,1
Moriconi C,1
Zimring JC,2
D'Alessandro A,3
Francis RO,1
Buehler PW,2
Fu M,1
Xing J,1
Ding Y,3
Dong K,2
Yuan E,1
Soto I,5
García-Diego DA,1
Gil B,1
Ruiz-Beato E,1
Ivanova Y,1
Martín Lorenzo T,1
Maravilla-Herrera P,1
Hidalgo-Vega Á,1
Merino M,1
Kachhwaha A,1
Rohila AK,1
Tripathi S,2
Meena DS,1
Khichar S,1
Kumar D,2
Leone MC,1
Canovi S,1
Pilia A,2
Casali A,1
Depietri L,1
Fasano T,2
Colla R,1
Ghirarduzzi A,1
Kawahara F,1
Shirayama R,1
Oshida K,3
Kusuhara K,1
Al-Radaideh O,1
Farouji I,1
Abed H,1
Shaaban H,1
Scheiner B,2
Balcar L,1
Johanna Nussbaumer R,1
Weinzierl J,1
Paternostro R,2
Simbrunner B,1
Hartl L,1
Jachs M,1
Bauer D,3
Stättermayer AF,1
Semmler G,2
Pinter M,1
Ay C,36
Trauner M,3
Reiberger T,3
Mandorfer M,3
Han JP,2
Choi BS,1
Lee GS,2
Jeong M,1
Lee Y,1
Kim EA,1
Go N,1
Lee KJ,1
Kim UG,1
Lee JY,2
Yeom SC,2
Goodyear D,1
Strike K,2
Capdevila L,1
Frère C,1
Desvages M,1
Harroche A,5
Bally C,1
Abbes A,1
Frenzel L,2
Borgel D,3
Lasne D,11
Goodman C,1
Wong O,1
Singkham N,1
Punyawudho B,1
Yu MS,1
Cheng SN,8
Hsiao CC,1
Hou JY,1
Fang YP,1
Wang HW,1
Lin JH,3
Yu LH,1
Riccardi F,11
Rivolta GF,13
Matichecchia A,2
Quintavalle G,4
Biasoli C,8
Valdrè L,4
Piscitelli L,1
Percesepe A,1
Tagliaferri A,43
Harris VA,1
Lin W,2
Lansing F,1
Mukhametzyanova L,1
Rojo-Romanos T,1
Iwasawa K,1
Kimura M,1
Paszkowski-Rogacz M,1
Karpinski J,1
Grass T,1
Sonntag J,1
Schneider PM,1
Günes C,1
Hoersten J,1
Schmitt LT,1
Rodriguez-Muela N,1
Knöfler R,7
Takebe T,1
Buchholz F,1
Niimi Y,1
Baba K,1
Tsuchida M,1
Takeda A,1
Hartung S,1
Weyrich A,1
Moroni M,1
Gómez M,2
Herden C,1
Zhao J,10
Wu L,13
Hu Z,9
Liang D,12
Hmida J,1
Koob S,2
Marquardt N,10
Wirtz DC,1
Schildberg FA,1
Strauss AC,2
Teixeira Passos D,1
Abrantes AM,1
Cardoso A,1
Pais de Lacerda A,1
Nakajima Y,15
Mizumachi K,3
Shimonishi N,6
Furukawa S,10
Ogiwara K,40
Takeyama M,29
Khefacha L,1
Rassas R,1
Bergaoui H,1
Mustapha H,1
Faleh R,1
Sakly N,1
Sassi M,1
Cochery-Nouvellon É,1
Bourguignon C,1
Mercier É,1
Bouvier S,1
Quéré I,1
Perez-Martin A,1
Molinari N,1
Matzner-Lober É,1
Walradth EA,1
Bowyer A,11
Lowe A,2
Mao J,6
Zhang G,12
Xi W,1
Ruan Z,3
Xi X,10
Sihn CR,4
Handyside B,4
Liu S,9
Murphy R,3
Yates B,4
Xie L,9
Torres R,1
Russell CB,2
O'Neill CA,3
Pungor E,1
Fong S,6
Pace LM,1
Lee AY,2
Nath S,1
Alviedo NB,1
Reed CR,1
Bonadonna D,1
Otto JC,1
McDaniel CG,1
Chabata CV,1
Kuchibhatla M,1
Frederiksen J,1
Layzer JM,2
Arepally GM,1
Tracy ET,1
Verhagen MJA,1
Valke LLFG,3
Schols SEM,5
Pan TY,3
Kou HS,1
Wang CC,4
Delgado-Flores CJ,1
García-Gomero D,1
Salvador-Salvador S,1
Montes-Alvis J,1
Herrera-Cunti C,1
Taype-Rondan A,1
Gaudard M,1
Boissier E,1
Talon L,3
Douxfils J,1
Sapin AF,1
Sinegre T,4
Lebreton A,7
Wilkins RA,1
Stephensen D,11
Siddle H,1
Scott MJ,2
Xiang H,3
Horn E,1
Palmer B,7
Chapman GJ,1
Walwyn R,1
Redmond A,1
Gil BM,1
Chung MH,1
Lee KN,1
Jung JI,1
Yoo WJ,1
Kwon SS,1
Gualtierotti R,3
Tafuri F,1
Arcudi S,1
Solimeno PL,1
Acquati J,1
Landi L,1
Khan N,3
Taimur M,1
Malkani A,1
Lamsal R,1
Azadmehr S,1
Rahiminejad F,1
Zafarghandi Motlagh F,1
Jamali M,1
Ghazizadeh Tehrani P,1
Shirzadeh T,1
Bagherian H,1
Davoudi-Dehaghani E,1
Pluim M,1
Heier A,1
Plomp S,1
Boshuizen B,1
Gröne A,1
van Weeren R,2
Vanderperren K,1
Dewulf J,1
Chantziaras I,1
Koene M,1
Luciani A,1
Oosterlinck M,1
Van Brantegem L,1
Delesalle C,1
Arvanitakis A,2
Holme PA,29
Abudaqqa RY,1
Arun KP,1
Mas AJA,1
Abushaaban FA,1
Salma F,1
Soukaina W,1
Sarmiento Doncel S,1
Diaz Mosquera GA,1
Cortes JM,1
Ramirez Plazas N,1
Meza FJ,1
Agudelo Rico C,1
Rodrigues-Martins D,1
Buchner G,1
Braga JS,1
Klintman J,6
Akesson KE,1
Afosah DK,3
Ofori E,1
Mottamal M,2
Al-Horani RA,5
Elkouby L,1
Armour SM,1
DiPietro M,2
Davidson RJ,5
Nguyen GN,5
Willet M,1
Kutza S,1
Silverberg J,1
Frick J,1
Crosariol M,1
Sabatino DE,18
Anguela XM,8
Alam A,1
Doshi H,1
Patel DN,1
Patel K,1
James D,1
Almendral J,1
Reddivari AKR,2
Thornburg CD,10
Adamski K,2
Cook K,3
Vembusubramanian M,1
Sendhil SR,1
Hinds D,3
Chen E,2
Sammon J,3
Solari P,3
Garrison LP,1
Croteau SE,21
McLaughlin P,8
Hurley M,2
Awasthi NP,3
Tiwari V,1
Riaz K,1
Arshad S,3
Husain N,10
Mokhtar FM,1
Sathar J,4
Huri HZ,1
Skubera M,1
Gołąb A,1
Plicner D,1
Natorska J,3
Ząbczyk M,3
Trojnarska O,2
Mazurek-Kula A,1
Smaś-Suska M,1
Bartczak-Rutkowska A,1
Podolec P,2
Tomkiewicz-Pająk L,1
Percy C,2
Tran H,10
von Drygalski A,24
Mingot-Castellano ME,17
Park YS,11
Mahlangu J,42
Quinn J,2
Huang M,11
Reddy DB,1
Kamin Mukaz D,1
Gergi M,1
Koh I,1
Zakai NA,17
Judd SE,8
Sholzberg M,14
Baumann Kreuziger L,1
Freeman K,1
Colovos C,1
Olson NC,4
Latef TJ,1
Bhardwaj P,1
Bilal M,1
Burke T,6
Asghar S,3
O'Hara J,14
Chuang M,1
Sawyer EK,8
Li N,11
Shearin S,2
Venkateswarlu D,6
Aguiar-Ricardo I,1
Agostinho J,1
Pereira A,1
Rodrigues F,2
Brito D,1
Pinto FJ,1
Catarino C,2
Mendes Pedro M,1
Bukkems LH,10
Barteling W,2
Laros-van Gorkom BAP,10
Blijlevens NMA,2
Cnossen MH,34
van Heerde WL,6
Mathôt RAA,21
Holstein K,27
Le Quellec S,8
Klamroth R,62
Gatti PC,1
Parreira M,1
Gutierrez Fillol A,1
Gualtieri A,1
Puia SA,1
Akdeniz A,1
Ünüvar A,1
Ar MC,7
Pekpak E,1
Akyay A,1
Mehtap Ö,1
Karadağ FK,1
Acıpayam C,1
Doğan A,1
Ekinci Ö,1
Köker SA,2
Albayrak C,4
Demirci U,1
Güney T,1
Kurt M,1
Karaman S,2
Kimyon ÖŞ,1
Albayrak S,1
Öncül Y,1
Ünal S,1
Şahin F,3
Tuna R,1
Zulfikar B,9
Apak BB,1
Ümit EG,1
Demir AM,1
Laine P,1
Rowell WJ,1
Paulin L,1
Kujawa S,1
Raterman D,1
Mayhew G,1
Wendt J,1
Burgess DL,1
Partonen T,1
Paunio T,1
Auvinen P,1
Ekholm JM,1
Al-Banaa K,2
Gallastegui-Crestani N,1
Mathew R,1
Ali A,2
Sanders K,1
Flint A,1
Lamsal S,1
DeReus H,1
Cueno M,1
Jacob R,1
Zafar M,1
Butler-Manuel W,1
Berliti S,1
Cowley A,1
Janbain M,8
Pinki S,1
Mohan G,2
Venugopal D,1
Innah SJ,2
Marik A,1
Mallhi RS,1
Kushwaha N,1
Biswas AK,1
Yadav AK,1
Guy S,5
M Maclean R,1
Saccullo G,1
Vanveen JJ,1
Deng XH,1
Cong T,1
Chen D,10
Ying L,2
Rodeo SA,2
Bragança M,1
Valente C,1
Ferreira AI,1
Freitas-Silva M,1
George LA,16
Ellsworth P,4
Ma A,3
Elbadry MI,1
Tawfeek A,1
Abdellatif MG,1
Salama EH,1
Abudeif A,1
Mahmoud H,1
Ezeldin M,1
Abdelkareem RM,1
Rashad UM,1
Lamort AS,1
Kaiser JC,1
Pepe MAA,1
Lilis I,1
Ntaliarda G,1
Somogyi K,1
Spella M,1
Behrend SJ,1
Giotopoulou GA,1
Kujawa W,1
Lindner M,1
Koch I,1
Hatz RA,1
Behr J,1
Sotillo R,1
Schamberger AC,1
Stathopoulos GT,2
Gong W,1
Sun M,1
Kulkarni S,1
Hegde R,1
Kulkarni SS,1
Hanagvadi S,1
Das KK,1
Kolagi S,1
Gai PB,1
Bulagouda R,1
Van Der Valk P,1
van Vulpen LFD,8
Schutgens REG,19
Yang Q,10
Jiang W,5
Fletcher S,3
Jenner K,2
Holland M,6
Kameda T,1
Ejiri S,1
Konno SI,1
Gourzoulidis G,1
Stefanou G,1
Economou M,5
Vakalopoulou S,10
Filippidis G,1
Soultatis G,1
Kontos D,1
Tzima S,1
Ntemousis F,1
Fassa A,1
Kourlaba G,1
Dodgson S,2
Christie D,1
Isfordink CJ,1
Gouw SC,30
van Balen EC,4
Hassan S,6
Beckers EAM,7
Coppens M,16
Eikenboom J,10
Hooimeijer L,1
Leebeek FWG,34
Miatech JL,1
Kantamani D,1
Stagg MP,1
Hampton K,9
Young G,64
Benchikh El Fegoun S,5
Cooper A,1
Scalfaro E,1
Ito J,2
Baldwin WH,10
Legan ER,1
Li R,12
Gill S,2
Batsuli G,7
Joseph BC,1
Miyazawa BY,1
Cohen MJ,5
Kodali BS,1
Karuppiah A,1
Bharadwaj S,2
Chow J,2
Yamasaki G,2
Kuse A,1
Morichika M,1
Sakurada M,1
Asano M,1
Ueno Y,1
Petracca F,1
Tempre R,1
Cucciniello M,1
Ciani O,1
Pompeo E,1
Sannino L,1
Lovato V,1
Tarricone R,1
Olgasi C,4
Borsotti C,4
Merlin S,12
Bergmann T,4
Bittorf P,2
Adewoye AB,1
Wragg N,1
Calabria A,2
Benedicenti F,3
Cucci A,3
Borchiellini A,9
Pollio B,6
Montini E,3
Mazzuca DM,1
Zierau M,2
Stolzing A,1
Toleikis PM,1
Braspenning J,3
Bohra GK,1
Purohit A,1
Garg MK,1
Midha NK,1
Manglia R,1
Jain K,1
Didel S,1
Nag V,1
Sharma P,5
Bhatia P,3
Misra S,4
Fernandes JMA,1
Gondim FAA,1
Dias AMN,1
Ribeiro RA,1
Ferreira Filho LIP,1
Pinto VPT,1
Fernandez A,1
Botha J,1
Walker GE,3
Zanolini D,4
Vandoni A,1
Gaidano G,3
Valente G,3
Olivero M,1
Schweiger H,2
Rejtő J,4
Hofbauer CJ,6
Berg V,2
Allacher P,6
Zwiauer K,3
Feistritzer C,9
Schuster G,4
Sang C,1
Wang S,18
Li Y,34
Shi X,4
Nguyen BST,1
Le XTT,1
Huynh N,1
Nguyen HH,1
Truong Nguyen CM,1
Nguyen BH,1
Feugray G,2
Kasonga F,1
Chamouni P,5
Barbay V,3
Fresel M,1
Hélène Chretien M,1
Brunel S,1
Le Cam Duchez V,3
Billoir P,3
Yao YF,1
Gao Q,2
Li JL,1
Xue CX,1
Fang W,1
Jing JH,1
Loftis C,1
Dulgheru EC,1
Parisi K,1
Mousavi SH,5
Arif S,1
Madadi S,1
Mansouritorghabeh H,18
Edelblute C,1
Mangiamele C,1
Heller R,2
Lassandro G,5
Accettura D,1
Giordano P,8
Davari M,3
Sadeghi A,2
Gharibnaseri Z,3
Ravanbod R,6
Eshghi P,14
Zargaran M,1
Dognin N,1
Salaun E,1
Champagne C,1
Domain G,1
O'Hara G,1
Philippon F,1
Paradis JM,1
Faroux L,1
Beaudoin J,1
O'Connor K,1
Rodés-Cabau J,1
Champagne J,1
Kramer AD,1
Korsholm K,1
Kristensen A,2
Nielsen-Kudsk JE,1
Kovacevic KD,1
Grafeneder J,1
Schörgenhofer C,1
Gelbenegger G,2
Gager G,1
Firbas C,1
Jilma-Stohlawetz P,1
Bileck A,1
Zhu S,2
Gilbert JC,4
Beliveau M,1
Derhaschnig U,2
Wohner N,1
Sebastian S,1
Muczynski V,4
Huskens D,5
de Laat B,9
Shivamurthy S,1
Lalic-Cosic S,1
Dopsaj V,2
Kovac M,3
Mandic-Markovic V,1
Mikovic Z,1
Mobarrez F,4
Pérez Aliaga AI,1
Labata G,1
Aranda A,1
Cardoso M,1
Puente F,1
Domingo JM,1
Garcés C,1
Watanabe AH,1
Lee SWH,1
Chai-Adisaksopha C,7
Lim MY,4
Chaiyakunapruk N,1
Tasar S,1
Tasar MA,1
Alioglu B,6
Elalfy M,4
Elghamry I,1
Hassab H,1
Elalfy O,1
Andrawes N,1
El-Ekiaby M,4
Lissitchkov TJ,2
Willemze A,1
Katragadda S,3
Rice K,5
Poloskey S,2
Benson C,1
Helin TA,1
Lemponen M,3
